Location_Name__c,Location_Region__c,Region__c,TimeZoneSidKey__c,Zone_Abbreviation__c,Zone_Name__c,Data_Migration_Control_Field__c,Timezone__c
Atlantic/Cape Verde,Europe,EMEA,Atlantic/Cape_Verde,CVT,Cape Verde Time,false,
Atlantic/South Georgia,Europe,EMEA,Atlantic/South_Georgia,,South Georgia Time,false,
America/St Johns,North America,AMER,America/St_Johns,NDT,Newfoundland Daylight Time,false,
America/Buenos Aires,South America,LATAM,America/Argentina/Buenos_Aires,ART,Argentina Time,false,
America/Halifax,North America,AMER,America/Halifax,ADT,Atlantic Daylight Time,false,
America/Sao Paulo,South America,LATAM,America/Sao_Paulo,BRT,Brasilia Time,false,
Atlantic/Bermuda,North America,AMER,Atlantic/Bermuda,ADT,Atlantic Daylight Time,false,
America/Indianapolis,North America,AMER,America/Indiana/Indianapolis,EDT,Eastern Daylight Time,false,
America/New York,North America,AMER,America/New_York,EDT,Eastern Daylight Time,false,
America/Puerto Rico,South America,LATAM,America/Puerto_Rico,AST,Atlantic Standard Time,false,
America/Santiago,South America,LATAM,America/Santiago,CLT,Chile Time,false,
America/Caracas,South America,LATAM,America/Caracas,VET,Venezuela Time,false,
America/Bogota,South America,LATAM,America/Bogota,COT,Colombia Time,false,
Houston,North America,AMER,America/Chicago,CDT,Central Daylight Time,false,
America/Lima,South America,LATAM,America/Lima,PET,Peru Time,false,
America/Mexico City,North America,AMER,America/Mexico_City,CDT,Central Daylight Time,false,
America/Panama,North America,AMER,America/Panama,EST,Eastern Standard Time,false,
America/Denver,North America,AMER,America/Denver,MDT,Mountain Daylight Time,false,
America/El Salvador,North America,AMER,America/El_Salvador,CST,Central Standard Time,false,
Mexico/Mazatlan,South America,LATAM,America/Mexico_City,MDT,Mountain Daylight Time,false,
America/Los Angeles,North America,AMER,America/Los_Angeles,PDT,Pacific Daylight Time,false,
America/Phoenix,North America,AMER,America/Phoenix,MST,Mountain Standard Time,false,
America/Tijuana,North America,AMER,America/Tijuana,PDT,Pacific Daylight Time,false,
America/Anchorage,North America,AMER,America/Anchorage,AKDT,Alaska Daylight Time,false,
Pacific/Pitcairn,North America,AMER,Pacific/Pitcairn,PST,Pitcairn Time,false,
America/Atka,North America,AMER,America/Atka,HAST,Hawaii-Aleutian Standard Time,false,
Pacific/Gambier,North America,AMER,Pacific/Gambier,GAMT,Gambier Time,false,
Pacific/Marquesas,Pacific,AMER,Pacific/Marquesas,MART,Marquesas Time,false,
Pacific/Honolulu,North America,AMER,Pacific/Honolulu,HAST,Hawaii-Aleutian Standard Time,false,
Pacific/Niue,North America,AMER,Pacific/Niue,NUT,Niue Time,false,
Pacific/Pago Pago,North America,AMER,Pacific/Pago_Pago,SST,Samoa Standard Time,false,
America/Panama,North America,AMER,America/Panama,EST,Panama Time,false,
